Item,SITES (POR REGIÃO/MUNICÍPIO),NOME DO SITE,REFERÊNCIA GEOGRÁFICA,,SISTEMA,STATUS,CATEGORIA,in/out,VALOR LOCAÇÃO
101,5ºCRPM/Joinville,Itapoá," 26° 7'40.03""S  48°44'30.85""W",,DMR,Locação - Rádio Itapoá,Primária,outdoor,"R$ 2505,25"
102,12ºCRPM/Jaraguá do Sul,Jaraguá do Sul," 26°30'58.21""S   49° 3'14.76""W",,DMR,NSC,Primária,indoor,
103,12ºCRPM/Jaraguá do Sul,Corupá,"  26°25'36.23""S  49°13'51.64""W",,DMR,Rádio Corupá,Primária,outdoor,
104,3ªCRPM/Itajaí,Itajaí," 26°55'11.63""S  48°39'46.76""W",,DMR,NDTV,Primária,outdoor,
105,3ªCRPM/Itajaí,Morro do Brilhante,"  27° 4'37.23""S  48°46'22.75""W",,DMR,Eletrosul,Primária,indoor,
106,3ªCRPM/Itajaí,Luiz Alves,"  26°44'57.41""S  48°55'43.31""W",,DMR,Unifique,Primária,outdoor,
107,3ªCRPM/Itajaí,Penha,"  26°46'45.21""S   48°39'33.26""W",,DMR,PMSC,Primária,outdoor,
108,3ªCRPM/Itajaí,Barra  Velha," 26°38'9.07""S  48°41'20.82""W",,DMR,NDTV,Primária,outdoor,
109,10 CRPM/Blumenau,Morro Cahorro,"  26°46'41.94""S  49° 1'52.40""W",,DMR,Eletrosul,Primária,indoor,
110,10 CRPM/Blumenau,Portal Saxonia,"  26°54'18.65""S  49° 3'32.62""W",,DMR,NDTV,Primária,outdoor,
111,10 CRPM/Blumenau,Morro do Progresso," 26°58'29.46""S  49° 4'8.58""W",,DMR,Locação - Wildfried,Primária,outdoor,"R$519,80"
112,10 CRPM/Blumenau,Morro Azul,"  26°45'49.08""S  49°12'23.42""W",,DMR,NDTV,Primária,indoor,
113,10 CRPM/Blumenau,Rodeio," 26°52'4.00""S  49°24'3.98""W",,DMR,Celesc,Primária,outdoor,
114,7ºCRPM/Brusque,Cedro Alto," 27°13'8.62""S  48°56'53.42""W",,DMR,CBMSC,Primária,outdoor,
115,7ºCRPM/Brusque,Brusque," 27° 5'23.81""S  48°55'51.22""W",,DMR,Celesc,Primária,indoor,
116,7ºCRPM/Brusque,Guabiruba," 27° 6'0.11""S   49° 1'5.00""W",,DMR,Celesc,Primária,outdoor,
117,7ºCRPM/Brusque,Gaspar," 26°57'25.65""S   48°54'34.96""W",,DMR,PMSC,Primária,indoor,
118, Fpolis / BC,Morro da Cruz,"  27°35'25.70""S  48°31'57.37""W",,DMR,NDTV,Primária,outdoor,
119,Fpolis / BC,Pinheiro," 27°19'42.16""S  48°33'32.08""W",,DMR,Celesc,Primária,outdoor,
120,Fpolis / BC,Pinho," 27° 1'4.88""S  48°35'21.08""W",,DMR,PMSC,Primária,outdoor,
121,8ºCRPM/Tubarão,Tubarão,"  28°31'19.31""S 48°59'7.35""W",,DMR,NSC,Primária,indoor,
122,8ºCRPM/Tubarão,Imaruí,"  28°26'44.17""S  48°51'49.87""W",,DMR,Eletrosul,Primária,indoor,
123,8ºCRPM/Tubarão,Laguna Centro," 28°29'16.97""S  48°46'40.64""W",,DMR,NDTV,Primária,outdoor,
124,8ºCRPM/Tubarão,Imbituba," 28°15'3.87""S  48°41'17.48""W",,DMR,NSC,Primária,outdoor,
125,8ºCRPM/Tubarão,Garopaba," 28° 1'10.37""S  48°38'9.46""W",,DMR,NDTV,Primária,indoor,
126,6ºCRPM/Criciúma,Criciúma (Cechinel),"  28°39'24.75""S  49°21'42.27""W",,DMR,NDTV,Primária,indoor,
127,6ºCRPM/Criciúma,Urussanga,"  28°30'54.19""S  49°23'39.88""W ",,DMR,Bando Turbo,Primária,outdoor,
128,6ºCRPM/Criciúma,Maracajá,"  28°50'37.39""S  49°23'55.00""W",,DMR,Embratel,Primária,outdoor,
129,6ºCRPM/Criciúma,Serra do Rio do Rastro," 28°23'34.03""S  49°32'57.28""W",,DMR,Celesc,Primária,outdoor,
130,Fpolis / BC,Rancho Queimado," 27°41'50.36""S  49° 8'31.75""W",,DMR,PMSC,Primária,indoor,
131,6ºCRPM/Araranguá,Sombrio," 29° 7'27.92""S  49°41'41.53W",,DMR,NSC,Primária,outdoor,
132,6ºCRPM/Araranguá,Timbé do Sul," 28°48'3.02""S  49°57'11.00""W",,DMR,Eletrosul,Primária,indoor,
133,2ºCRPM/Lages, Morro da TV,"  27°48'48.67""S   50°22'20.81""W",,DMR,NDTV,Primária,indoor,
134,2ºCRPM/Lages,Morro do Tributo,"  27°42'48.57""S   50°14'40.55""W",,DMR,Locação Voxtel Internet,Primária,outdoor,"R$700,00"
135,2ºCRPM/Lages,Urupema,"  27°55'23.49""S   49°51'36.11""W",,DMR,NDTV,Primária,indoor,
136,2ºCRPM/Lages,São Joaquim," 28°17'6.49""S   49°56'27.82""W",,DMR,NSC,Primária,outdoor,
137,2ºCRPM/Lages,Bom Jardim da Serra,"  28°22'5.51""S   49°37'40.10""W",,DMR,NSC,Primária,indoor,
138,2ºCRPM/Lages,Alfredo Wagner," 27°41'2.65""S  49°19'28.39""W",,DMR,NSC,Primária,outdoor,
139,2ºCRPM/Lages,CRE Lages," 27°49'15.97""S  50°18'36.56""W",,DMR,PMSC,Primária,outdoor,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,,,,,,,,,
144,,,,,,,,,
145,,,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,"	OBS: DRJ irá realizar as visitas preventivas, ao longo do ano de 2025, a fim de colher também maiores informações para o preechimento paulatino da tabela		",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"""	OBS: DRJ irá realizar as visitas preventivas, ao longo do ano de 2025, a fim de colher também maiores informações para o preechimento paulatino da tabela		""	",,,,,,,,
